id	type	license	datasetID	basisOfRecord	occurrenceID	occurrenceRemarks	sex	lifeStage	reproductiveCondition	organismName	samplingProtocol	eventDateRange	decimalLatitude	decimalLongitude	geodeticDatum	scientificNameID	scientificName	taxonRank	footprintWKT
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-03		f	adult		F53		2014-03-03T03:01:01Z/2014-03-03T23:01:30Z	38.269950	-112.005470	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-111.9960733 38.2468703, -112.0176681 38.27283189999999, -112.0175814 38.2728864, -111.9978597 38.2795092, -111.9859914 38.2747908, -111.9960733 38.2468703))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-04		f	adult		F53		2014-03-04T03:00:59Z/2014-03-04T23:01:06Z	38.273696	-112.008836	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0101428 38.2649961, -112.0165269 38.2771889, -112.0165247 38.2772611, -111.9894264 38.2720161, -112.0101428 38.2649961))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-05		f	adult		F53		2014-03-05T03:00:57Z/2014-03-05T23:01:01Z	38.274802	-112.002032	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-111.9876983 38.2721875, -112.0164392 38.2772583, -112.0164081 38.27732279999999, -112.016345 38.2773531, -111.987835 38.2724947, -111.9874664 38.2721964, -111.9876983 38.2721875))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-06		f	adult		F53		2014-03-06T03:01:01Z/2014-03-06T23:00:54Z	38.276521	-112.007447	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0032544 38.2745267, -112.0149392 38.2754356, -112.0149586 38.2755197, -112.0148978 38.2757761, -111.9983758 38.2789992, -111.9982586 38.2788675, -112.0032544 38.2745267))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-07		f	adult		F53		2014-03-07T03:02:17Z/2014-03-07T23:01:18Z	38.277821	-112.004679	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-111.9871947 38.2726967, -112.0095614 38.2767694, -112.0142692 38.2803686, -111.9983406 38.27894439999999, -111.9871947 38.2726967))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-08		f	adult		F53		2014-03-08T03:00:53Z/2014-03-08T23:01:20Z	38.280460	-112.013943	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0139478 38.2803194, -112.0140717 38.2803947, -112.0140592 38.2804333, -112.013955 38.2807094, -112.0137744 38.2804675, -112.0139478 38.2803194))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-09		f	adult		F53		2014-03-09T03:00:51Z/2014-03-09T23:01:00Z	38.280365	-112.013780	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0139886 38.2802531, -112.0138686 38.28039920000001, -112.0137603 38.2804717, -112.0136083 38.2803661, -112.0136592 38.28034279999999, -112.0139886 38.2802531))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-10		f	adult		F53		2014-03-10T03:01:18Z/2014-03-10T23:01:38Z	38.280435	-112.017965	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0138925 38.2801553, -112.0212797 38.28017310000001, -112.0210139 38.2803119, -112.0135625 38.2811492, -112.0138925 38.2801553))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-11		f	adult		F53		2014-03-11T03:01:06Z/2014-03-11T23:01:46Z	38.259228	-112.012650	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0140625 38.25244470000001, -112.0178314 38.27072279999999, -112.0084381 38.2636122, -112.0099269 38.25859329999999, -112.0120956 38.2546219, -112.0140625 38.25244470000001))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-12		f	adult		F53		2014-03-12T03:01:01Z/2014-03-12T23:01:06Z	38.261619	-112.009873	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0061736 38.24964689999999, -112.016155 38.25946, -112.0160817 38.2597275, -112.0111428 38.2685253, -111.9984261 38.27392329999999, -112.0061736 38.24964689999999))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-13		f	adult		F53		2014-03-13T03:01:20Z/2014-03-13T23:01:36Z	38.258452	-112.011305	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0114067 38.2584256, -112.0113511 38.2584706, -112.0112669 38.258475, -112.0112442 38.2584361, -112.0114067 38.2584256))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-14		f	adult		F53		2014-03-14T03:01:06Z/2014-03-14T23:01:06Z	38.258833	-112.017122	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0112503 38.2584336, -112.0234778 38.2591472, -112.0234817 38.25915670000001, -112.0217814 38.2592869, -112.0113844 38.2584881, -112.0113556 38.2584853, -112.0112503 38.2584336))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-15		f	adult		F53		2014-03-15T03:01:12Z/2014-03-15T23:02:07Z	38.259485	-112.020628	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0206117 38.25097720000001, -112.0317003 38.2704408, -112.0127733 38.25917310000001, -112.0119822 38.2585692, -112.0206117 38.25097720000001))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-16		f	adult		F53		2014-03-16T03:01:34Z/2014-03-16T23:01:20Z	38.270476	-112.031580	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0314508 38.2704225, -112.0316086 38.2704503, -112.0316292 38.2704689, -112.0316008 38.2705336, -112.0314508 38.2704225))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-17		f	adult		F53		2014-03-17T03:01:36Z/2014-03-17T23:01:36Z	38.270488	-112.031584	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0315103 38.2703972, -112.0316217 38.2704214, -112.0316528 38.2706003, -112.0314933 38.2705175, -112.0315103 38.2703972))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-18		f	adult		F53		2014-03-18T03:02:09Z/2014-03-18T23:00:58Z	38.270439	-112.031679	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0318947 38.2703508, -112.0316933 38.2705553, -112.0315692 38.2704781, -112.0316261 38.2703953, -112.0318947 38.2703508))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-19		f	adult		F53		2014-03-19T03:00:58Z/2014-03-19T23:01:18Z	38.270498	-112.031593	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0315342 38.2704147, -112.0316039 38.2704317, -112.0316775 38.27054529999999, -112.03155 38.2705503, -112.0315342 38.2704147))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-20		f	adult		F53		2014-03-20T03:01:32Z/2014-03-20T23:00:55Z	38.270059	-112.031362	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0310239 38.2692808, -112.0315711 38.2704, -112.0315439 38.2704533, -112.0314736 38.2704275, -112.0310453 38.2694406, -112.0310239 38.2692808))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-21		f	adult		F53		2014-03-21T03:01:45Z/2014-03-21T19:01:23Z	38.266750	-112.032927	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0311883 38.2624064, -112.0361786 38.2646758, -112.0315789 38.2704381, -112.0315328 38.2704153, -112.0311883 38.2624064))
